name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,feedback,"Anomaly ""Evar ?X722 was not declared."" Please report at http://coq.inria.fr/bugs/."
iterates_In,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of hs_coq_lenAcc_add     (List.lenAcc _ (_ + _)%Z) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of IH     (mconcat t) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,False,add_err,Syntax error: illegal begin of vernac.
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The LHS of Fix_eq     (Fix _ _ _ _) does not match any subterm of the goal
eq_replace_r,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a v1 : EqLaws a v2, v3, H1 : a The term ""v2"" has type ""a"" while it is expected to have type ""EqLaws a""."
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 2 branches.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,H is already used.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of IH     (any (fun y : A => v == y) (xs ++ _)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,True,,
unzip_zip,GHC/List.v,False,feedback,No such hypothesis: la
iterates'_In,GHC/Enum.v,False,feedback,"In environment A : Type n : nat f : A -> A z, a : A i : nat H1 : Nat.iter i f z = a H2 : In i (seq 0 n) The term ""H1"" has type ""Nat.iter i f z = a"" while it is expected to have type  ""a = Nat.iter i f z""."
Foldable_length_nil,Data/Foldable.v,True,,
