name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Cannot coerce step_dup to an evaluable reference.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,The reference y was not found in the current environment.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,congruence failed.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params net : network p : seq_num_packet H_in : In p (nwPackets net) H_not_in : ~            In (tmNum (pBody p))              (assoc_default name_eq_dec (tdSeen (nwState net (pDst p)))                 (pSrc p) []) Unable to unify ""In p (nwPackets net)"" with  ""In {| pSrc := pSrc p; pDst := pDst p; pBody := tmMsg (pBody p) |}     (map        (fun p : seq_num_packet =>         {| pSrc := pSrc p; pDst := pDst p; pBody := tmMsg (pBody p) |})        (filter           (fun p : seq_num_packet =>            if             member (tmNum (pBody p))               (assoc_default name_eq_dec (tdSeen (nwState net (pDst p)))                  (pSrc p) [])            then false            else true) (dedup pkt_eq_dec (nwPackets net))))""."
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,No product even after head-reduction.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 0 branches.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation init : A P : A -> Prop H : P init /\ inductive step P x : A x0 : list trace H0 : refl_trans_1n_trace step init x x0 Unable to unify ""P init /\ inductive step P"" with  ""P x""."
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,The reference h0 was not found in the current environment.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference step_failure_pt_mapped_simulation was not found in the current environment.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,The reference tot_map_name_inv_correct was not found in the current environment.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference in_filterMap_pt_map_name_msg was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,False,feedback,(in proof at_head_of_queue_intro): Attempt to save an incomplete proof
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params net : network Unable to unify ""?M1607 = ?M1608"" with  ""{|   nwPackets := map mgv_deghost_packet                  (nwPackets                     {|                     nwPackets := map mgv_ghost_packet (nwPackets net);                     nwState := fun X : name =>                                match net with                                | {| nwState := nwState |} => nwState X                                end |});   nwState := fun X : name =>              match net with              | {| nwState := nwState |} => nwState X              end |} = net""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,No product even after head-reduction.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat i : Client_index l' : Label net, net' : network tr : list (Name * (Input + list Output)) H : lb_step_async net l' net' tr H0 : In {| pSrc := Client i; pDst := Server; pBody := Lock |} (nwPackets net) H1 : ~      In {| pSrc := Client i; pDst := Server; pBody := Lock |}        (nwPackets net') Unable to unify ""l'"" with ""MsgLock i""."
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,No product even after head-reduction.
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,The reference eventually_weaken was not found in the current environment.
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 0 branches.
