name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,4,destruct;simpl;constructor;auto
iterates_In,GHC/Enum.v,13,rewrite;rewrite;split;intros;exists;split;omega;exact;intros;exists;split;omega;exact
Foldable_length_cons,Data/Foldable.v,7,simpl;rewrite;rewrite;rewrite;rewrite;simpl;omega
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,intros;unfold;reflexivity
instance_MonoidLaws_list,GHC/Base.v,29,split;intro;unfold;simpl;apply;reflexivity;intro;unfold;simpl;apply;induction;reflexivity;simpl;f_equal;apply;intros;unfold;apply;reflexivity;intro;unfold;simpl;apply;induction;reflexivity;simpl;rewrite;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,10,rewrite;case;have;omega;case;case;rewrite;f_equal;rewrite;omega
eftInt_aux_unroll,GHC/Enum.v,7,unfold;destruct;subst;rewrite;reflexivity;rewrite;reflexivity
eq_replace_r,GHC/Base.v,36,intros;destruct;destruct;auto;assert;apply;eauto;apply;eauto;eauto;rewrite;inversion;assert;apply;eauto;apply;eauto;eauto;rewrite;inversion;assert;apply;eauto;apply;eauto;eauto;rewrite;inversion;assert;apply;eauto;apply;eauto;eauto;rewrite;inversion
N_popcount_Nsucc_double,Data/Bits/Popcount.v,18,intro;destruct;simpl;induction;simpl;rewrite;simpl;reflexivity;simpl;rewrite;simpl;reflexivity;simpl;reflexivity;simpl;reflexivity;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,12,constructor;intros;destruct;simpl;constructor;congruence;destruct;constructor;congruence;destruct;constructor;congruence
Pos_popcount_pow2,Data/Bits/Popcount.v,6,intro;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,16,intros;unfold;unfold;unfold;unfold;unfold;induction;simpl;reflexivity;simpl;rewrite;destruct;simpl;reflexivity;simpl;reflexivity
Eq_eq_Word,GHC/Base.v,0,
unzip_zip,GHC/List.v,16,intros;revert;induction;intros;simpl;injection;subst;reflexivity;simpl;destruct;injection;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,13,rewrite;rewrite;constructor;intros;exists;apply;omega;exact;intros;exists;exact;apply;omega
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,9,intros;unfold;destruct;reflexivity;simpl;destruct;destruct;reflexivity;reflexivity
eq_replace_l,GHC/Base.v,64,intros;destruct;destruct;auto;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;apply;apply;auto;apply;auto;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;apply;apply;auto;apply;auto;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;apply;apply;auto;apply;auto;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;apply;apply;auto;apply;auto;rewrite;inversion
hs_coq_foldl'_list,Data/Foldable.v,11,rewrite;have;intros;revert;induction;intros;reflexivity;simpl;rewrite;reflexivity;apply
