name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation c : A os' : list trace x : A H2 : refl_trans_1n_trace step x c os' Unable to unify ""refl_trans_1n_trace ?M1568 ?M1569 ?M1571 (?M1572 ++ ?M1573)"" with ""refl_trans_1n_trace step x c os'""."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""last_holder' ?M1605 (?M1604 ++ [(?M1606, inr [])])"" in the current goal."
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,No such hypothesis: Hvalid
trace_outputs_input,systems/Counter.v,False,feedback,"Found no subterm matching ""filterMap ?M1600 (?M1601 ++ ?M1602)"" in the current goal."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"Found no subterm matching ""assoc_default ?M1628                              (assoc_set ?M1628 ?M1632 ?M1629 ?M1631)                               ?M1630 ?M1633"" in HNotIn."
reachable_intro,systems/LockServ.v,False,feedback,Not an inductive goal with 1 constructor.
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""held st'"" in the current goal."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,No such assumption.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,Unable to find an instance for the variable st.
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,The reference out was not found in the current environment.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""InputHandler (Client n) i (sigma (Client n))"" in the current goal."
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,Expects a disjunctive pattern with 6 branches.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,"not a rewritable relation: (In (n', m') l) in rule H_map"
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference NoDup_filterMap was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference p was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,The LHS of map_id     (map (fun x : _ => x) _) does not match any subterm of the goal
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in Hc."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,Applied theorem does not have enough premises.
