name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,False,feedback,No matching clauses for match.
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Wrong bullet -: Current bullet - is not finished.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation c : A os' : list trace x, x', x'' : A cs, cs' : list trace Hstep : step x x' cs Hrefl : refl_trans_1n_trace step x' x'' cs' IH : refl_trans_1n_trace step x'' c os' ->      refl_trans_1n_trace step x' c (cs' ++ os') Unable to unify ""refl_trans_1n_trace ?M1571 x' ?M1574 ?M1576"" with  ""refl_trans_1n_trace step x'' c os'""."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,The reference h was not found in the current environment.
locks_correct_locked_at_head,systems/LiveLockServ.v,True,,
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,No such goal.
reachable_intro,systems/LockServ.v,False,feedback,"Unable to apply lemma of type  ""forall (A trace : Type) (step : step_relation A trace)      (x y : A) (l : list trace),   refl_trans_n1_trace step x y l -> refl_trans_1n_trace step x y l"" on hypothesis of type ""step_async_star step_async_init a tr""."
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true t : list Client_index Hqueue : queue (sigma Server) = c :: t Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t n : Client_index Hheldn : held (sigma (Client n)) = true Hneq : Client c <> Client n The term ""sigma"" has type ""Name -> Data"" while it is expected to have type  ""locks_correct ?sigma"" (cannot unify ""Client_index"" and  ""Name"")."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,The reference H_inv was not found in the current environment.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,Wrong bullet +: Current bullet + is not finished.
inductive_invariant_true_in_reachable,core/Net.v,True,,
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""update ?M1811 ?M1812 ?M1813 (?M1812 ?M1813)"" in the current goal."
