name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,out is already used.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,Unable to find an instance for the variable x'.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,No such contradiction
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,Unexpected name (no introduction patterns were expected in the branch).
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,Unexpected name (at most 2 introduction patterns were expected in the branch).
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat net : network tr : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation init : A P : A -> Prop Hinit : P init Hind : inductive step P a, a' : A out : list trace Hstep : step a a' out Ha : P a Unable to unify ""inductive step P"" with ""P a'""."
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""update ?M1811 ?M1812 ?M1813 (?M1812 ?M1813)"" in the current goal."
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,_failed_ is used in conclusion.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No primitive equality found.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map nms : list (name * msg) n0 : name m0 : msg Hm : forall nm : name * msg, In nm nms -> snd nm = snd (n0, m0) Hnd : NoDup nms m' : msg Hpm : Some m' = pt_map_msg (snd (n0, m0)) Unable to unify ""Some m' = pt_map_msg (snd (n0, m0))"" with  ""pt_map_msg (snd (n0, m0)) = Some m'""."
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The LHS of __top_assumption_     lb does not match any subterm of the goal
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,The LHS of map_id     (map (fun x : _ => x) _) does not match any subterm of the goal
snoc_at_head_of_queue_preserved,systems/LockServ.v,True,,
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,No such assumption.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,No such hypothesis: out_s0
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""runGenHandler (nwState net (pDst p0))                              (NetHandler (pDst p0) (pSrc p0) (pBody p0))"" in HnotIn."
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,Unexpected name (no introduction patterns were expected in the branch).
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,True,,
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,No such assumption.
disk_correct_reboot,systems/LogCorrect.v,False,feedback,No such hypothesis: Hbr
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,No such assumption.
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,feedback,nw_empty_queue_lock can be used as a hint only for eauto.
dup_drop_step_star_step_1,core/DupDropReordering.v,False,feedback,(in proof dup_drop_step_star_step_1): Attempt to save an incomplete proof
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map overlay_fst : NameOverlayParams multi_fst overlay_snd : NameOverlayParams multi_snd overlay_map_congr : NameOverlayParamsTotalMapCongruency overlay_fst                       overlay_snd name_map m : msg m' : msg h : name failed : list name H : pt_map_msg m = Some m' The term ""m'"" has type ""msg"" while it is expected to have type ""name""."
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,Wrong bullet -: Current bullet - is not finished.
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map overlay_fst : NameOverlayParams multi_fst overlay_snd : NameOverlayParams multi_snd overlay_map_congr : NameOverlayParamsTotalMapCongruency overlay_fst                       overlay_snd name_map fail_msg_fst : FailMsgParams multi_fst fail_msg_snd : FailMsgParams multi_snd fail_msg_map_congr : FailMsgParamsPartialMapCongruency fail_msg_fst                        fail_msg_snd msg_map new_msg_fst : NewMsgParams multi_fst new_msg_snd : NewMsgParams multi_snd new_msg_map_congr : NewMsgParamsPartialMapCongruency new_msg_fst new_msg_snd                       msg_map net : ordered_dynamic_network failed : list name The term ""RT1nTBase"" has type  ""forall (A trace : Type) (step : step_relation A trace) (x : A),   refl_trans_1n_trace step x x []"" while it is expected to have type  ""step_ordered_dynamic_failure_star ([], step_ordered_dynamic_init)     (map tot_map_name failed,     {|     odnwNodes := map tot_map_name (odnwNodes net);     odnwPackets := fun src dst : name =>                    filterMap pt_map_msg                      (odnwPackets net (tot_map_name_inv src)                         (tot_map_name_inv dst));     odnwState := fun n : name =>                  match odnwState net (tot_map_name_inv n) with                  | Some d => Some (pt_map_data d)                  | None => None                  end |}) []""."
mgv_ghost_simulation_1,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params net, net' : network failed, failed' : list name out : list (name * (input + list output)) H : step_failure (map id failed, tot_map_net net)       (map id failed', tot_map_net net') out The term ""H"" has type  ""step_failure (map id failed, tot_map_net net)     (map id failed', tot_map_net net') out"" while it is expected to have type  ""step_failure (failed, mgv_deghost net) (failed', mgv_deghost net') out""."
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat net : network Hreach : reachable step_async step_async_init net The term ""step_async"" has type  ""step_relation network (name * (input + list output))"" while it is expected to have type ""inductive_invariant ?step ?init ?P""."
locks_correct_update_false,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : Data x : Client_index Hcorr : forall n : Client_index,         held (sigma (Client n)) = true ->         exists t : list Client_index, queue (sigma Server) = n :: t Hfst : held st' = false n : Client_index Hheld : held           (if name_eq_dec (Client n) (Client x)            then st'            else sigma (Client n)) = true The term ""Client x"" has type ""Name"" while it is expected to have type ""name""."
last_holder'_input_extend,systems/LiveLockServ.v,False,feedback,The reference a was not found in the current environment.
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,False,feedback,The reference HU was not found in the current environment.
PrimaryNetHandler_no_msgs,systems/Counter.v,True,,
log_input_handlers_spec,systems/LogCorrect.v,True,,
log_step_failure_star_simulation,systems/LogCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params orig_failure_params : FailureParams orig_multi_params data_serializer : Serializer data name_serializer : Serializer name msg_serializer : Serializer msg input_serializer : Serializer input snapshot_interval : nat net : do_network failed : list do_name x : list do_name * do_network Unable to unify ""refl_trans_1n_trace ?M1614 ?M1615 ?M1617 (?M1618 ++ ?M1619)"" with  ""refl_trans_1n_trace step_failure step_failure_init     (failed, revertLogNetwork net) []""."
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,False,feedback,tr is used in hypothesis H.
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,False,feedback,Cannot apply lemma H
inputs_m_inr,systems/PrimaryBackup.v,False,feedback,"In environment base_params : BaseParams one_node_params : OneNodeParams base_params pb_params : PrimaryBackupParams base_params h : name t : list output tr : list (name * (input + list output)) Unable to unify  ""filterMap     (fun x : name * (PB_input + list PB_output) =>      let (y, y0) := x in      match y with      | Primary => match y0 with                   | inl (Request i) => Some i                   | _ => None                   end      | Backup => None      end) tr"" with  ""match match h with         | Primary | _ => None         end with   | Some y =>       y       :: filterMap            (fun x : name * (PB_input + list PB_output) =>             let (y0, y1) := x in             match y0 with             | Primary =>                 match y1 with                 | inl (Request i) => Some i                 | _ => None                 end             | Backup => None             end) tr   | None =>       filterMap         (fun x : name * (PB_input + list PB_output) =>          let (y, y0) := x in          match y with          | Primary =>              match y0 with              | inl (Request i) => Some i              | _ => None              end          | Backup => None          end) tr   end""."
Nth_app,systems/LiveLockServ.v,True,,
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,False,feedback,"Cannot refine with term  ""eq_ind (tot_map_name (tot_map_name_inv ?M1605))     (fun _ : name =>      init_handlers n =      pt_ext_map_data (init_handlers (tot_map_name_inv n))        (tot_map_name_inv n)) ?M1609 ?M1605 (tot_map_name_inverse_inv ?M1605)"" because a metavariable has several occurrences."
nwnw_lock,systems/LiveLockServ.v,True,,
locks_correct_net_handlers,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p : packet sigma : name -> Data u : Label st' : Data out : list Output ms : list (Name * Msg) c : Client_index Hdst : pDst p = Client c Hhandler : NetHandler (Client c) (pSrc p) (pBody p) (sigma (Client c)) =            (u, out, st', ms) Hlocks : locks_correct sigma Hunlock : locks_correct_unlock sigma p Hlocked : locks_correct_locked sigma p The term ""u"" has type ""Label"" while it is expected to have type  ""ClientNetHandler c (pBody p) (sigma (Client c)) = (?u, ?out, ?st', ?ms)""."
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,False,add_err,Syntax error: [constr:operconstr level 200] expected after '(' (in [constr:operconstr]).
decomposition_invariant,core/StatePacketPacketDecomposition.v,False,add_err,Syntax error: '<-' or '->' or [constr_with_bindings_arg] expected after 'apply' (in [tactic:simple_tactic]).
map_id_tr,core/GhostSimulations.v,True,,
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,False,feedback,The reference H2 was not found in the current environment.
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,No such hypothesis: H2
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"No assumption in (step_ordered_failure                     (map tot_map_name failed', pt_map_onet net)                     (map tot_map_name failed',                     pt_map_onet                       {|                       onwPackets := collate name_eq_dec to                                       (update2 name_eq_dec                                           (onwPackets net) from to ms) l;                       onwState := update name_eq_dec (onwState net) to d |})                     (filterMap pt_map_trace_ev (map2fst to (map inr out))) \/                   pt_map_onet                     {|                     onwPackets := collate name_eq_dec to                                     (update2 name_eq_dec                                         (onwPackets net) from to ms) l;                     onwState := update name_eq_dec (onwState net) to d |} =                   pt_map_onet net /\                   failed' = failed' /\                   filterMap pt_map_trace_ev (map2fst to (map inr out)) = [])"
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,add_err,"Syntax error: 'as' or 'in' or '|' or ',' or ')' expected after [constr:operconstr level 200] (in [constr:operconstr])."
