name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of hs_coq_lenAcc     (List.lenAcc _ _) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The reference Monoid__list_mappend was not found in the current environment.
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,Wrong bullet -: Current bullet - is not finished.
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The reference eftInt_aux_equation was not found in the current environment.
eq_replace_r,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a v1 : EqLaws a v2, v3, H0 : a The term ""v2"" has type ""a"" while it is expected to have type ""EqLaws a""."
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 2 branches.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,"In environment a : Type b : Type H : Eq_ a H0 : EqLaws a H1 : EqExact a H2 : Eq_ b H3 : EqLaws b H4 : EqExact b a0, a1 : a The term ""a"" has type ""Type"" while it is expected to have type  ""is_true (?x == ?y)""."
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,feedback,The reference Foldable__list_foldMap was not found in the current environment.
Eq_eq_Word,GHC/Base.v,False,add_err,Syntax error: illegal begin of vernac.
unzip_zip,GHC/List.v,True,,
iterates'_In,GHC/Enum.v,False,feedback,"In environment A : Type n : nat f : A -> A z, a : A i : nat H1 : Nat.iter i f z = a H2 : In i (seq 0 n) The term ""H1"" has type ""Nat.iter i f z = a"" while it is expected to have type  ""a = Nat.iter i f z""."
Foldable_length_nil,Data/Foldable.v,True,,
