name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,False,feedback,The reference o was not found in the current environment.
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Cannot coerce mkseq_num_data to an evaluable reference.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,No such assumption.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data p : packet c : Client_index H1 : pDst p = Client c H2 : pBody p = Locked c' : Client_index H4 : pDst p = Client c' t : list Client_index H5 : queue (sigma Server) = c' :: t H6 : held (sigma (Client c')) = false Unable to unify ""c :: t"" with ""c' :: t""."
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,True,,
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data H_held : held st' = true H_at_head : at_head_of_queue sigma c H_locks_correct : locks_correct sigma n : Client_index H_held_n : held (update name_eq_dec sigma (Client c) st' (Client n)) = true The term ""n"" has type ""Client_index"" while it is expected to have type  ""name""."
nwnw_locked_lock,systems/LiveLockServ.v,True,,
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,add_err,Syntax error: illegal begin of vernac.
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,No such bound variable a (no bound variables at all in the expression).
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,congruence failed.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"Anomaly ""Evar ?X1138 was not declared."" Please report at http://coq.inria.fr/bugs/."
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsTotalMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgTotalMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsTotalMapCongruency base_map name_map msg_map tot_map_output_injective : forall o o' : output,                            tot_map_output o = tot_map_output o' -> o = o' fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsTotalMapCongruency fail_fst fail_snd base_map overlay_fst : NameOverlayParams multi_fst overlay_snd : NameOverlayParams multi_snd overlay_map_congr : NameOverlayParamsTotalMapCongruency overlay_fst                       overlay_snd name_map m : msg n' : name m' : msg l : list (name * msg) H_in : forall nm : name * msg, In nm ((n', m') :: l) -> snd nm = m IH : (forall nm : name * msg, In nm l -> snd nm = m) ->      In (tot_map_name n', tot_map_msg m)        (map           (fun nm : name * msg =>            (tot_map_name (fst nm), tot_map_msg (snd nm))) l) ->      In (tot_map_name_inv (tot_map_name n'), m) l H_in_map : (tot_map_name n', tot_map_msg m') =            (tot_map_name n', tot_map_msg m) H1 : tot_map_msg m' = tot_map_msg m Unable to unify ""tot_map_name_inv (tot_map_name ?M1657) = ?M1657"" with  ""n' = tot_map_name_inv (tot_map_name n')""."
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,nms is used in hypothesis H_fail.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference H0 was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params nwPackets : list packet nwState : name -> data Unable to unify ""?M1612 = ?M1613"" with  ""mgv_deghost (mgv_reghost {| nwPackets := nwPackets; nwState := nwState |}) =   {| nwPackets := nwPackets; nwState := nwState |}""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in the current goal."
