name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,feedback,The reference eqP was not found in the current environment.
iterates_In,GHC/Enum.v,False,feedback,"tampering with discharged assumptions of ""in"" tactical"
Foldable_length_cons,Data/Foldable.v,False,feedback,"In environment a : Type x : a xs : list a Unable to unify ""Z.succ (length xs)"" with ""Z.succ (Zlength xs)""."
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,False,feedback,The reference fold_left_cons was not found in the current environment.
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of app_nil_l     (nil ++ _) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,The LHS of eftInt_iterates'     (eftInt _ _) does not match any subterm of the goal
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf : (from <= to)%Z Unable to unify  ""eftInt_aux ?M1584.2 ?M1584.1 ?M1585 =   eftInt_aux_rhs ?M1584.2 ?M1584.1 ?M1585"" with ""eftInt_aux to from pf = eftInt_aux_rhs to from pf""."
eq_replace_r,GHC/Base.v,False,feedback,Tactic failure: Incorrect number of goals (expected 1 tactic).
N_popcount_Nsucc_double,Data/Bits/Popcount.v,True,,
EqExact_Data_Either_Either,Data/Either.v,False,feedback,H is already used.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,The reference Npos_inj was not found in the current environment.
Foldable_any_app,Data/Foldable.v,False,feedback,The reference foldr_app was not found in the current environment.
Eq_eq_Word,GHC/Base.v,True,,
unzip_zip,GHC/List.v,False,feedback,Cannot find any non-recursive equality over la.
iterates'_In,GHC/Enum.v,False,feedback,n is already used.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,s is already used.
eq_replace_l,GHC/Base.v,False,feedback,"In environment a : Type Hle : Eq_ a v1 : EqLaws a v2, v3, Heq : a The term ""Eq_refl v1"" has type ""is_true (v1 == v1)"" while it is expected to have type ""a""."
hs_coq_foldl'_list,Data/Foldable.v,True,,
instance_MonadLaws_Data_Either_Either,Data/Either.v,True,,
eftInt_aux_pf,../base/GHC/Enum.v,True,,
parametric_eq_sym,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a Eq_sym : symmetric (T:=a) _==_ The term ""Eq_sym"" has type ""symmetric (T:=a) _==_"" while it is expected to have type ""Symmetric (fun x y : a => x == y)"" (cannot unify ""(x == y) = (y == x)"" and ""x == y -> y == x"")."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,No product even after head-reduction.
Build_EqLaws_reflect,GHC/Base.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
N_popcount_diff,Data/Bits/Popcount.v,True,,
In_zip_swap,GHC/List.v,True,,
Eq_Symmetric,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a The term ""Eq_sym"" has type ""symmetric (T:=a) _==_"" while it is expected to have type ""Symmetric (fun x y : a => x == y)""."
List_foldl_foldr,GHC/List.v,True,,
instance_SemigroupLaws_unit,GHC/Base.v,True,,
dropWhile_cons_prop,../base/Data/OldList.v,True,,
iterates'_length,GHC/Enum.v,False,feedback,The LHS of IH     (length (iterates' n f z)) does not match any subterm of the goal
hs_coq_reverse,GHC/List.v,False,feedback,"Cannot infer the implicit parameter A of app whose type is  ""Type"" in environment: A : Type xs : list A"
