name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Omega can't solve this system
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,No such goal.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,The reference H_queue was not found in the current environment.
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,The reference member_correct was not found in the current environment.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,No such assumption.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,No such goal.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat st : network tr : list (name * (input + list output)) H : step_async_star step_async_init st tr st0 : network tr0 : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,Wrong bullet +: No more subgoals.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No such goal.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map net : network failed' : list name p : packet xs, ys : list packet d : data l : list (name * msg) out : list output H_step : step_failure (failed', net)            (failed',            {|            nwPackets := map                           (fun m : name * msg =>                            {|                            pSrc := pDst p;                            pDst := fst m;                            pBody := snd m |}) l ++                          xs ++ ys;            nwState := update name_eq_dec (nwState net) (pDst p) d |})            [(pDst p, inr out)] H3 : nwPackets net = xs ++ p :: ys H4 : ~ In (pDst p) failed' H6 : net_handlers (pDst p) (pSrc p) (pBody p) (nwState net (pDst p)) =      (out, d, l) p' : packet H_m : pt_map_packet p = Some p' The term ""filterMap pt_map_packet xs"" has type ""list packet"" while it is expected to have type ""list name""."
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,"tampering with discharged assumptions of ""in"" tactical"
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference in_filterMap was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams labeled_multi_fst : LabeledMultiParams base_fst labeled_multi_snd : LabeledMultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap unlabeled_multi_params              unlabeled_multi_params msg_map : MultiParamsMsgPartialMap unlabeled_multi_params             unlabeled_multi_params label_map : LabeledMultiParamsLabelTotalMap labeled_multi_fst               labeled_multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map multi_map_lb_congr : LabeledMultiParamsPartialMapCongruency base_map name_map                        msg_map label_map label_eq_dec : forall x y : label, {x = y} + {x <> y} tot_map_label_injective : forall l l' : label,                           tot_map_label l = tot_map_label l' -> l = l' label_tot_mapped : forall l : label, exists l' : label, l = tot_map_label l' net : ordered_network failed' : list lb_name lb : label H_neq : tot_map_label lb <> label_silent out : list output to : lb_name ms : list lb_msg d : data l : list (lb_name * lb_msg) from : lb_name H_neq' : lb <> label_silent m : lb_msg H3 : onwPackets net from to = m :: ms H4 : ~ In to failed' H6 : lb_net_handlers to from m (onwState net to) = (lb, out, d, l) The term ""m"" has type ""lb_msg"" while it is expected to have type ""msg""."
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,True,,
