name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,61,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;simpl;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,33,induction;intros;simpl;repeat;break_match;subst;intuition;congruence;eauto;destruct;subst;congruence;eauto;destruct;subst;congruence;eauto;destruct;subst;congruence;eauto;destruct;subst;congruence;eauto;destruct;subst;congruence;eauto;destruct;subst;congruence;eauto
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;unfold;destruct;destruct;unfold;exists;congruence
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,13,intros;unfold;simpl;apply;split;apply;assumption;destruct;exfalso;apply;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,7,intros;apply;induction;apply;apply;apply;apply
locks_correct_update_true,systems/LiveLockServ.v,10,intros;unfold;intros;destruct;subst;rewrite;eauto;rewrite;apply;assumption
nwnw_locked_lock,systems/LiveLockServ.v,11,intros;unfold;destruct;destruct;exfalso;eauto;reflexivity;exfalso;eauto;exfalso;eauto
LockServ_mutual_exclusion_trace,systems/LockServ.v,119,intros;apply;apply;simpl;split;split;unfold;simpl;auto;intros;simpl;congruence;intros;simpl;exfalso;congruence;intros;destruct;split;unfold;simpl;induction;simpl;auto;rewrite;simpl;destruct;destruct;apply;congruence;apply;apply;apply;apply;apply;apply;congruence;apply;apply;destruct;apply;apply;apply;destruct;apply;apply;apply;apply;apply;apply;apply;exfalso;apply;split;intros;induction;simpl;apply;apply;rewrite;simpl;destruct;destruct;apply;apply;apply;congruence;apply;apply;apply;apply;apply;apply;congruence;destruct;apply;apply;apply;destruct;apply;subst;apply;apply;exfalso;apply;intros;induction;simpl;apply;apply;rewrite;simpl;destruct;destruct;apply;congruence;apply;apply;destruct;subst;apply;apply;apply;apply;apply;apply;congruence;apply;congruence;apply;apply;destruct;apply;apply;apply;destruct;apply;exfalso;apply
inductive_invariant_true_in_reachable,core/Net.v,12,intros;unfold;intros;unfold;destruct;unfold;destruct;apply;eauto;exact;exact;exact
locks_correct_input_handlers,systems/LiveLockServ.v,13,set_up_input_handlers;apply;assumption;assumption;apply;assumption;assumption;apply;assumption;assumption;apply;assumption;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,47,move;case;move;rewrite;case;left;apply;rewrite;rewrite;rewrite;move;apply;have;move;rewrite;rewrite;apply;exact;right;split;rewrite;rewrite;rewrite;split;rewrite;move;rewrite;left;apply;rewrite;rewrite;apply;move;apply;have;move;rewrite;rewrite;apply;exact;move;have;case;left;apply;right;case
