name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,10,intros;unfold;simpl;destruct;destruct;reflexivity;destruct;destruct;reflexivity;reflexivity
reachable_seen,systems/SeqNumCorrect.v,67,apply;unfold;simpl;intros;find_apply_lem_hyp;simpl;intuition;intros;invcs;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;unfold;simpl;intros;find_apply_lem_hyp;simpl;intuition
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;simpl;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,40,intros;induction;simpl;simpl;assumption;destruct;simpl;simpl;apply;assumption;destruct;destruct;simpl;simpl;destruct;destruct;subst;contradiction;apply;assumption;apply;assumption;simpl;simpl;destruct;destruct;subst;contradiction;apply;assumption;apply;assumption;simpl;simpl;apply;assumption;simpl;simpl;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;unfold;destruct;destruct;apply;rewrite;reflexivity
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,20,intros;unfold;simpl;apply;exists;split;unfold;destruct;simpl;reflexivity;apply;split;apply;assumption;simpl;destruct;exfalso;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,4,intros;unfold;exists;assumption
locks_correct_update_true,systems/LiveLockServ.v,26,intros;destruct;subst;rewrite;specialize;destruct;exists;rewrite;assumption;intro;inversion;assumption;rewrite;specialize;destruct;exists;rewrite;assumption;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity
nwnw_locked_lock,systems/LiveLockServ.v,8,intros;destruct;simpl;destruct;destruct;destruct;simpl;tauto
LockServ_mutual_exclusion_trace,systems/LockServ.v,0,
inductive_invariant_true_in_reachable,core/Net.v,12,intros;unfold;intros;unfold;destruct;induction;destruct;exact;destruct;apply;exact;exact
locks_correct_input_handlers,systems/LiveLockServ.v,34,intros;destruct;unfold;unfold;destruct;simpl;repeat;break_match;repeat;tuple_inversion;subst;simpl;subst;simpl;apply;auto;congruence;apply;auto;congruence;apply;auto;congruence;unfold;unfold;repeat;tuple_inversion;subst;simpl;subst;simpl;apply;auto;congruence
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,50,move;inversion;subst;simpl;case;left;apply;rewrite;apply;rewrite;rewrite;right;have;rewrite;subst;repeat;split;rewrite;rewrite;rewrite;case;left;apply;apply;rewrite;rewrite;right;have;rewrite;subst;repeat;split;rewrite;rewrite;rewrite;left;apply;rewrite;rewrite;left;apply;rewrite;rewrite;left;apply;left;apply;apply;rewrite;rewrite
in_tot_map_name,core/TotalMapSimulations.v,22,intros;induction;simpl;contradiction;simpl;destruct;inversion;subst;simpl;left;f_equal;apply;apply;simpl;right;apply;intros;apply;simpl;right;exact;exact
nodup_pt_map,core/PartialMapSimulations.v,26,move;have;move;elim;case;case;move;constructor;apply;move;apply;right;move;inversion;case;apply;move;apply;right;inversion;move;apply;move;apply;right;inversion
at_head_of_queue_intro,systems/LockServ.v,4,intros;unfold;exists;exact
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,29,move;inversion;subst;simpl;have;have;have;have;destruct;destruct;apply;rewrite;apply;rewrite;rewrite;rewrite;have;have;have;have;destruct;destruct;apply;apply;rewrite;rewrite;rewrite;exfalso;rewrite
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,11,intros;destruct;simpl;f_equal;apply;intros;destruct;reflexivity;apply;intros;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,6,intros;exists;rewrite;rewrite;simpl;reflexivity
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,26,intros;induction;simpl;exact;simpl;simpl;simpl;destruct;split;intros;apply;destruct;apply;exact;apply;left;reflexivity;exact;apply;exact;exact;intros;apply;right;exact;exact
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
Lock_delivered_MsgLock,systems/LiveLockServ.v,36,intros;unfold;intros;inversion;subst;simpl;exfalso;find_apply_lem_hyp;simpl;intuition;congruence;congruence;simpl;intuition;congruence;congruence;exfalso;find_apply_lem_hyp;simpl;intuition;congruence;congruence;simpl;intuition;congruence;congruence;exfalso;find_apply_lem_hyp;simpl;intuition;congruence;congruence;simpl;intuition;congruence;congruence
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,22,intros;unfold;intros;specialize;destruct;exists;unfold;destruct;repeat;split;assumption;unfold;specialize;destruct;exists;assumption;simpl;destruct;subst;assumption;contradiction;assumption
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,10,intros;apply;eauto;intro;inversion;apply;apply;assumption;assumption;assumption
nwnw_unlock_lock,systems/LiveLockServ.v,12,intros;unfold;destruct;destruct;contradiction;reflexivity;exfalso;apply;assumption;exfalso;apply;assumption
disk_correct_reboot,systems/LogCorrect.v,150,intros;unfold;destruct;destruct;inversion;subst;unfold;destruct;exists;simpl;repeat;split;auto;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;simpl;reflexivity;simpl;apply;inversion;subst;unfold;destruct;exists;simpl;repeat;split;auto;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;unfold;simpl;unfold;unfold;unfold;destruct;congruence;destruct;congruence;destruct;congruence;simpl;rewrite;simpl;reflexivity;simpl;reflexivity;simpl;apply
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,20,intros;subst;induction;simpl;destruct;simpl;tauto;simpl;tauto;simpl;destruct;split;intros;apply;apply;right;apply;assumption;apply;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,0,
dup_drop_step_star_step_1,core/DupDropReordering.v,8,intros;apply;apply;econstructor;eauto;apply;apply;constructor
pt_map_map_pair_eq,core/PartialMapSimulations.v,5,move;have;have;have;rewrite
trace_mutual_exclusion'_extend_input,systems/LockServ.v,65,intros;induction;simpl;destruct;simpl;tauto;simpl;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;simpl;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto;destruct;simpl;tauto
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,27,move;have;have;have;move;induction;rewrite;apply;concludes;invcs;rewrite;apply;apply;exact;apply;apply;apply;exact;apply;apply;apply;exact;apply;apply;apply;exact;apply
mgv_ghost_simulation_1,core/GhostSimulations.v,3,intros;apply;exact
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,2,apply;apply
locks_correct_update_false,systems/LiveLockServ.v,8,intros;unfold;destruct;subst;rewrite;discriminate;apply;assumption
