name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,feedback,The reference eqP was not found in the current environment.
iterates_In,GHC/Enum.v,False,feedback,Not an inductive goal with 1 constructor.
Foldable_length_cons,Data/Foldable.v,False,feedback,"The LHS of IH     (Foldable__list (forall a : Type, list a -> Int)         (length__ list) a (x :: ys)) does not match any subterm of the goal"
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of app_nil_l     (nil ++ _) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,"In environment from, to : Int En : 0 = Z.to_nat (to - from + 1) Hle : (from <=? to)%Z = false Unable to unify ""nil"" with ""eftInt from to""."
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf : (from <= to)%Z Unable to unify  ""from   :: match Z.eq_dec from to with      | left _ => nil      | right neq =>          eftInt_aux to (from + 1)%Z (eftInt_aux_pf (y:=to) (x:=from) pf neq)      end"" with  ""eftInt_aux_func     (existT (fun y : Int => {x : Int & (x <= y)%Z}) to        (existT (Z.le^~ to) from pf))""."
eq_replace_r,GHC/Base.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,"In environment n : N Unable to unify  ""N.succ match n with          | 0 => 0          | N.pos p => N.pos (Pos_popcount p)          end"" with  ""match match n with         | 0%N => 1%N         | N.pos p => N.pos p~1         end with   | 0%N => 0%N   | N.pos p => N.pos (Pos_popcount p)   end""."
EqExact_Data_Either_Either,Data/Either.v,False,feedback,H is already used.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,The reference Pos.pow_2_r was not found in the current environment.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of IH     (compose SemigroupInternal.getAny        (foldMap (compose SemigroupInternal.Mk_Any (fun y : A => v == y)))        (xs ++ l2)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,False,feedback,No product even after head-reduction.
unzip_zip,GHC/List.v,False,feedback,No such assumption.
iterates'_In,GHC/Enum.v,False,feedback,The reference In_map_iff was not found in the current environment.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,"In environment h : Char t : list Char Unable to unify  ""let   '(h, t) :=    let    '(l, s') :=     if h == newline     then (nil, h :: t)     else      let      '(ys, zs) := List.break (fun arg_4__ : Char => arg_4__ == newline) t in       (h :: ys, zs) in     (l, match s' with         | nil => nil         | _ :: s'' => lines s''         end) in h :: t"" with ""lines (h :: t)""."
eq_replace_l,GHC/Base.v,False,feedback,_tmp is used in conclusion.
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,The LHS of IH     (foldl' f z xs) does not match any subterm of the goal
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,(in proof instance_MonadLaws_Data_Either_Either): Attempt to save an incomplete proof
eftInt_aux_pf,../base/GHC/Enum.v,False,feedback,y is already used.
parametric_eq_sym,GHC/Base.v,False,feedback,"Illegal application (Non-functional construction):  The expression ""HL"" of type ""EqLaws a"" cannot be applied to the term  ""x"" : ""a"""
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,The reference sg_op_assoc was not found in the current environment.
Build_EqLaws_reflect,GHC/Base.v,False,feedback,No such assumption.
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,The reference popcount_diff was not found in the current environment.
In_zip_swap,GHC/List.v,True,,
Eq_Symmetric,GHC/Base.v,False,feedback,indeterminate pattern
