name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Foldable_length_cons,Data/Foldable.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The reference Monoid__list_mappend was not found in the current environment.
enumFromTo_Int_iterates',GHC/Enum.v,True,,
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf : (from <= to)%Z Heq : from = to Unable to unify ""from :: nil"" with  ""eftInt_aux_func     (existT (fun y : Int => {x : Int & (x <= y)%Z}) to        (existT (Z.le^~ to) from pf))""."
eq_replace_r,GHC/Base.v,True,,
N_popcount_Nsucc_double,Data/Bits/Popcount.v,True,,
EqExact_Data_Either_Either,Data/Either.v,False,feedback,Cannot find an homogeneous relation to rewrite.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,"In environment n : positive IHn : Pos_popcount (2 ^ n) = 1%positive Unable to unify ""1%positive"" with ""Pos_popcount (2 ^ n~1)""."
Foldable_any_app,Data/Foldable.v,False,feedback,The reference Foldable.foldMap_app was not found in the current environment.
Eq_eq_Word,GHC/Base.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B l' : list (A * B) la' : list A lb' : list B E : unzip l' = (la', lb') H : (a :: la', b :: lb') = (a :: la', b :: lb') IH : (la', lb') = (a :: la', b :: lb') -> l' = zip (a :: la') (b :: lb') Unable to unify ""l' = zip (a :: la') (b :: lb')"" with  ""l' = zip la' lb'""."
iterates'_In,GHC/Enum.v,False,feedback,Cannot find an homogeneous relation to rewrite.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,The reference functional was not found in the current environment.
eq_replace_l,GHC/Base.v,False,feedback,The LHS of H1     (v2 == v3) does not match any subterm of the goal
hs_coq_foldl'_list,Data/Foldable.v,True,,
instance_MonadLaws_Data_Either_Either,Data/Either.v,True,,
eftInt_aux_pf,../base/GHC/Enum.v,False,add_err,Syntax Error: Lexer: Undefined token
parametric_eq_sym,GHC/Base.v,False,feedback,The reference H was not found in the current environment.
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,The LHS of semigroup_assoc     ((_ <<>> (_ <<>> _)) == ((_ <<>> _) <<>> _)) does not match any subterm of the goal
Build_EqLaws_reflect,GHC/Base.v,False,feedback,"In environment t : Type H : Eq_ t X : forall x y : t, reflect (x = y) (x == y) H0 : forall x y : t, (x == y) = ~~ (x /= y) Unable to unify ""(?M2078 == ?M2079) = ~~ (?M2078 /= ?M2079)"" with  ""forall x : t, x == x""."
N_popcount_diff,Data/Bits/Popcount.v,True,,
In_zip_swap,GHC/List.v,False,feedback,"In environment A : Type B : Type x : A y : B a : A as' : list A b : B bs' : list B H : (a, b) = (x, y) \/ In (x, y) (zip as' bs') IHxs : In (x, y) (zip as' (b :: bs')) -> In (y, x) (zip (b :: bs') as') H0 : In (x, y) (zip as' bs') Unable to unify ""In (y, x) (zip (b :: bs') as')"" with  ""In (y, x) (zip bs' as')""."
Eq_Symmetric,GHC/Base.v,False,feedback,Applied theorem does not have enough premises.
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f ys x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,True,,
dropWhile_cons_prop,../base/Data/OldList.v,True,,
iterates'_length,GHC/Enum.v,True,,
hs_coq_reverse,GHC/List.v,False,feedback,"Illegal application (Non-functional construction):  The expression ""rev xs0"" of type ""list ?A0@{xs0:=xs}"" cannot be applied to the term  ""a"" : ""list A"""
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,True,,
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,True,,
instance_FunctorLaws_identity,Data/Functor/Identity.v,True,,
