name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Expects a disjunctive pattern with 2 branches.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,The reference refl_trans_1n_trace_base was not found in the current environment.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"Illegal application (Non-functional construction):  The expression ""h"" of type ""option Client_index"" cannot be applied to the term  ""x"" : ""?A"""
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,No such hypothesis: Hqueue
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with ""trace_outputs [(h, inl i)]""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,No such assumption.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,No product even after head-reduction.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,"Illegal application (Non-functional construction):  The expression ""Hinv"" of type  ""(pBody p = Unlock -> pBody q = Unlock -> False) /\   (pBody p = Locked -> pBody q = Unlock -> False) /\   (pBody p = Unlock -> pBody q = Locked -> False) /\   (pBody p = Locked -> pBody q = Locked -> False)"" cannot be applied to the term  ""p"" : ""packet"""
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,No such hypothesis: H
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation init : A P : A -> Prop H : inductive_invariant step init P a : A x : list trace H0 : refl_trans_1n_trace step init a x Unable to unify ""inductive_invariant step init P"" with  ""P a""."
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat h : Name i : Msg sigma : Name -> Data u : Label st' : Data out : list Output ms : list (Name * Msg) Hhandler : InputHandler h i (sigma h) = (u, out, st', ms) Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t h' : Client_index The term ""h"" has type ""Name"" while it is expected to have type ""name""."
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference step_failure_pt_mapped_simulation_1_input was not found in the current environment.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No such assumption.
nodup_pt_map,core/PartialMapSimulations.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
at_head_of_queue_intro,systems/LockServ.v,False,feedback,Tactic failure:  The relation ex is not a declared reflexive relation. Maybe you need to require the Coq.Classes.RelationClasses library.
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params nodes : list packet packets : name -> data Unable to unify ""?M1620 = ?M1621"" with  ""map     (fun p : packet =>      {| pSrc := pSrc p; pDst := pDst p; pBody := snd (pBody p) |})     (map        (fun p : packet =>         {|         pSrc := pSrc p;         pDst := pDst p;         pBody := (ghost_msg_default, pBody p) |}) nodes) = nodes""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,No primitive equality found.
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,The reference distinct_pairs_and_cons was not found in the current environment.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,add_err,"Syntax error: 'as' or 'in' or '|' or ',' or ')' expected after [constr:operconstr level 200] (in [constr:operconstr])."
