name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,False,feedback,The reference e was not found in the current environment.
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"Found no subterm matching ""?M1572 ++ ?M1573 ++ ?M1574"" in the current goal."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,The reference n0 was not found in the current environment.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,Unable to find an instance for the variable t.
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,The reference in_undup was not found in the current environment.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hat_head : at_head_of_queue sigma c Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t n : Client_index Hheld' : held (update name_eq_dec sigma (Client c) st' (Client n)) = true The term ""n"" has type ""Client_index"" while it is expected to have type  ""name""."
nwnw_locked_lock,systems/LiveLockServ.v,True,,
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"Unable to find an instance for the variables st, tr."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,The reference s was not found in the current environment.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No such assumption.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,add_err,Syntax error: ')' expected after [tactic:tactic_expr] (in [tactic:tactic_expr]).
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,The type of H_eq is not inductive.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map m : msg n : name m' : msg l : list (name * msg) H_msg : forall nm : name * msg, In nm ((n, m') :: l) -> snd nm = m H_notin : ~ In (n, m') l H_NoDup : NoDup l IH : (forall nm : name * msg, In nm l -> snd nm = m) ->      NoDup (filterMap pt_map_name_msg l) H_m' : snd (n, m') = m m0 : msg H_map : pt_map_msg m = Some m0 Unable to unify ""NoDup (?M1627 :: ?M1628)"" with  ""NoDup     match pt_map_name_msg (n, m') with     | Some y => y :: filterMap pt_map_name_msg l     | None => filterMap pt_map_name_msg l     end""."
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference H2 was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params ps : list packet st : name -> data Unable to unify ""map ?M1629 ?M1632 = map ?M1630 ?M1632"" with  ""map     (fun x : packet =>      {|      pSrc := pSrc                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pDst := pDst                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pBody := snd                 (pBody                    {|                    pSrc := pSrc x;                    pDst := pDst x;                    pBody := (ghost_msg_default, pBody x) |}) |}) ps = ps""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in the current goal."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,Wrong bullet +: Current bullet * is not finished.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,The reference H_map_out was not found in the current environment.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,No matching clauses for match.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : data p : packet H : pBody p = Locked ->     exists c : Client_index,       pDst p = Client c /\       (exists t : list Client_index, queue (sigma Server) = c :: t) /\       held (sigma (Client c)) = false H0 : forall c : Client_index,      at_head_of_queue sigma c ->      at_head_of_queue (update name_eq_dec sigma Server st') c H1 : pBody p = Locked c : Client_index H2 : pDst p = Client c H3 : exists t : list Client_index, queue (sigma Server) = c :: t H4 : held (sigma (Client c)) = false The term ""H4"" has type ""held (sigma (Client c)) = false"" while it is expected to have type  ""held (update name_eq_dec sigma Server st' (Client c)) = false""."
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,True,,
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,(in proof nwnw_unlock_lock): Attempt to save an incomplete proof
disk_correct_reboot,systems/LogCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params orig_failure_params : FailureParams orig_multi_params data_serializer : Serializer data name_serializer : Serializer name msg_serializer : Serializer msg input_serializer : Serializer input snapshot_interval : nat net : do_network h : name s : IOStreamWriter.t entries : list entry snap : data Hcount : nwdoDisk net h Count = Some (nat_serialize (length entries)) Hlog : nwdoDisk net h Log = Some s Hunw : IOStreamWriter.unwrap s =        IOStreamWriter.unwrap          (list_serialize_rec entry             (sum_Serializer input (name * msg) input_serializer                (pair_Serializer name msg name_serializer msg_serializer))             entries) Hsnap : nwdoDisk net h Snapshot = Some (serialize snap) Hlen : log_num_entries (nwdoState net h) = length entries Happly : apply_log h snap entries = log_data (nwdoState net h) es' : list entry snap' : data Hchannel : channel_to_log (disk_to_channel (nwdoDisk net h)) =            Some (es', snap') The term ""0"" has type ""nat"" while it is expected to have type  ""IOStreamWriter.t""."
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,Wrong bullet +: Current bullet + is not finished.
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,add_err,Syntax error: '|' or ']' expected (in [or_and_intropattern]).
dup_drop_step_star_step_1,core/DupDropReordering.v,True,,
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,feedback,"No such bound variable ns (possible names are: m, m', h and failed)."
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,"In environment num_Clients : nat h : option Client_index c : Client_index i : Msg H_not_unlock : i <> Unlock H_trace : trace_mutual_exclusion' h [] The term ""I"" has type ""True"" while it is expected to have type  ""match i with   | Unlock =>       match h with       | Some m => if fin_eq_dec num_Clients c m then True else True       | None => True       end   | _ => True   end""."
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,add_err,Syntax error: ']' expected after [tactic:ssriorpat] (in [tactic:ssrcpat]).
mgv_ghost_simulation_1,core/GhostSimulations.v,False,feedback,The LHS of map_map     (map _ (map _ _)) does not match any subterm of the goal
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat net : network Hreach : reachable step_async step_async_init net The term ""step_async"" has type  ""step_relation network (name * (input + list output))"" while it is expected to have type ""inductive_invariant ?step ?init ?P""."
