name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,feedback,The term reflect is not unfoldable
iterates_In,GHC/Enum.v,False,feedback,Not an inductive product.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of Zlength_cons     (Zlength (_ :: _)) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,False,feedback,The reference foldl'__cons was not found in the current environment.
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of flat_map_cons_id     (flat_map (cons^~ nil) _) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,The LHS of eftInt_aux_iterates     (eftInt_aux _ _ _) does not match any subterm of the goal
eftInt_aux_unroll,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 0 branches.
eq_replace_r,GHC/Base.v,False,feedback,H is used in hypothesis _the_hidden_goal_.
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,The reference Pos_popcount_Nsucc_double was not found in the current environment.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,"Unable to satisfy the following constraints: In environment: a : Type b : Type H : Eq_ a H0 : EqLaws a H1 : EqExact a H2 : Eq_ b H3 : EqLaws b H4 : EqExact b a0, a1 : a  ?H0 : ""EqLaws (Either a b)""  ?EqExact : ""EqExact (Either a b)"""
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,feedback,The reference foldMap__list_foldMap was not found in the current environment.
Eq_eq_Word,GHC/Base.v,False,feedback,Cannot apply lemma reflect_iff
unzip_zip,GHC/List.v,False,feedback,"Found no subterm matching ""([], [])"" in the current goal."
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive product.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,"In environment s : String Hnull : List.null s = true Unable to unify ""nil"" with  ""Wf.Fix_sub String (Wf.MR lt (fun recarg : String => length recarg))     OldList.lines_obligation_2 (fun _ : String => list String)     (fun (recarg : String)        (lines' : {recarg' : String | length recarg' < length recarg} ->                  list String) =>      if List.null recarg      then nil      else       (let        '(h, t) as anonymous' :=         (let          '(l, s') as anonymous' :=           List.break (fun arg_4__ : Char => arg_4__ == newline) recarg           return             (anonymous' =              List.break (fun arg_4__ : Char => arg_4__ == newline) recarg ->              list Char * list (list Char)) in           fun             Heq_anonymous : (l, s') =                             List.break                               (fun arg_4__ : Char => arg_4__ == newline)                               recarg =>           (l,           match s' as s'' return (s'' = s' -> list (list Char)) with           | nil => fun _ : nil = s' => nil           | wildcard' :: s'' =>               fun Heq_s' : wildcard' :: s'' = s' =>               lines'                 (exist                    (fun recarg' : String => length recarg' < length recarg)                    s''                    (OldList.lines_obligation_1 recarg l s' Heq_anonymous                       wildcard' s'' Heq_s'))           end eq_refl)) eq_refl         return           (anonymous' =            (let             '(l, s') as anonymous'0 :=              List.break (fun arg_4__ : Char => arg_4__ == newline) recarg              return                (anonymous'0 =                 List.break (fun arg_4__ : Char => arg_4__ == newline) recarg ->                 list Char * list (list Char)) in              fun                Heq_anonymous : (l, s') =                                List.break                                  (fun arg_4__ : Char => arg_4__ == newline)                                  recarg =>              (l,              match s' as s'' return (s'' = s' -> list (list Char)) with              | nil => fun _ : nil = s' => nil              | wildcard' :: s'' =>                  fun Heq_s' : wildcard' :: s'' = s' =>                  lines'                    (exist                       (fun recarg' : String => length recarg' < length recarg)                       s''                       (OldList.lines_obligation_1 recarg l s' Heq_anonymous                          wildcard' s'' Heq_s'))              end eq_refl)) eq_refl -> list (list Char)) in         fun           _ : (h, t) =               (let                '(l, s') as anonymous' :=                 List.break (fun arg_4__ : Char => arg_4__ == newline) recarg                 return                   (anonymous' =                    List.break (fun arg_4__ : Char => arg_4__ == newline)                      recarg -> list Char * list (list Char)) in                 fun                   Heq_anonymous : (l, s') =                                   List.break                                     (fun arg_4__ : Char => arg_4__ == newline)                                     recarg =>                 (l,                 match s' as s'' return (s'' = s' -> list (list Char)) with                 | nil => fun _ : nil = s' => nil                 | wildcard' :: s'' =>                     fun Heq_s' : wildcard' :: s'' = s' =>                     lines'                       (exist                          (fun recarg' : String =>                           length recarg' < length recarg) s''                          (OldList.lines_obligation_1 recarg l s'                             Heq_anonymous wildcard' s'' Heq_s'))                 end eq_refl)) eq_refl => h :: t) eq_refl) s""."
eq_replace_l,GHC/Base.v,False,feedback,Applied theorem does not have enough premises.
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,"The LHS of IH     (Foldable__list (forall b a : Type, (b -> a -> b) -> b -> list a -> b)        (foldl'__ list) B A f _ l) does not match any subterm of the goal"
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,a is already used.
eftInt_aux_pf,../base/GHC/Enum.v,False,feedback,"In environment y, x : Int Hle : (x <= y)%Z Hneq : x <> y Unable to unify ""(?M1814 ?= ?M1816)%Z = Lt"" with  ""(x + 1 ?= y)%Z = Gt -> False""."
parametric_eq_sym,GHC/Base.v,False,feedback,"Unable to apply lemma of type ""symmetric _==_"" on hypothesis of type  ""is_true (x == y)""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,The LHS of semigroup_assoc     ((_ <<>> (_ <<>> _)) == ((_ <<>> _) <<>> _)) does not match any subterm of the goal
Build_EqLaws_reflect,GHC/Base.v,False,feedback,The reference reflect_eq was not found in the current environment.
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,"Found no subterm matching ""N_popcount (Pos.Ndouble ?M1703)"" in the current goal."
In_zip_swap,GHC/List.v,False,feedback,"In environment A : Type B : Type x : A y : B a : A as' : list A b : B bs : list B H1 : (a, b) = (x, y) IH : In (x, y) (zip as' (b :: bs)) -> In (y, x) (zip (b :: bs) as') Unable to unify ""(y, x)"" with ""(b, a)""."
Eq_Symmetric,GHC/Base.v,False,feedback,"Unable to apply lemma of type ""symmetric _==_"" on hypothesis of type ""a""."
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f xs' x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,True,,
dropWhile_cons_prop,../base/Data/OldList.v,False,feedback,"Found no subterm matching ""c :: s'"" in the current goal."
iterates'_length,GHC/Enum.v,False,feedback,The LHS of IH     (length (iterates' n f z)) does not match any subterm of the goal
hs_coq_reverse,GHC/List.v,False,feedback,"Found no subterm matching ""reverse xs'"" in the current goal."
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,False,feedback,Cannot coerce instance_FunctorLaws_Data_Either_Either to an evaluable reference.
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,False,feedback,No such goal.
instance_FunctorLaws_identity,Data/Functor/Identity.v,True,,
iter_plus_nat,GHC/Enum.v,False,feedback,The LHS of Nat.add_0_r     (_ + 0)%nat does not match any subterm of the goal
