name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,False,feedback,The reference filterMap_length was not found in the current environment.
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Wrong bullet -: Current bullet - is not finished.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation c : A os' : list trace x : A H2 : refl_trans_1n_trace step x c os' Unable to unify ""refl_trans_1n_trace ?M1568 ?M1569 ?M1569 []"" with  ""refl_trans_1n_trace step x c ([] ++ os')""."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat h : option Client_index n, c : Client_index Hlast : h = Some n Hneq : n <> c Unable to unify ""Some n"" with  ""last_holder' (Some n) ([] ++ [(Client c, inl Unlock)])""."
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,The reference Hvalid was not found in the current environment.
trace_outputs_input,systems/Counter.v,False,feedback,The reference filterMap_length was not found in the current environment.
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,Unable to find an instance for the variable A_eq_dec.
reachable_intro,systems/LockServ.v,False,feedback,"In environment num_Clients : nat a : network tr : list (name * (input + list output)) H : step_async_star step_async_init a tr Unable to unify ""refl_trans_1n_trace ?M1604 ?M1605 ?M1607 (?M1608 ++ ?M1609)"" with ""refl_trans_1n_trace step_async step_async_init a tr""."
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hhead : at_head_of_queue sigma c Hcorrect : forall n : Client_index,            held (sigma (Client n)) = true ->            exists t : list Client_index, queue (sigma Server) = n :: t The term ""Client c"" has type ""Name"" while it is expected to have type  ""Client_index""."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet E1 : pBody p = Lock H1 : Lock = Unlock -> pBody q = Unlock -> False H2 : Lock = Locked -> pBody q = Unlock -> False H3 : Lock = Unlock -> pBody q = Locked -> False H4 : Lock = Locked -> pBody q = Locked -> False The term ""eq_refl"" has type ""Lock = Lock"" while it is expected to have type  ""Lock = Unlock"" (cannot unify ""Lock"" and ""Unlock"")."
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"Unable to find an instance for the variables st, tr."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,The reference H was not found in the current environment.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,The reference h was not found in the current environment.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The LHS of map_map     (map _ (map _ _)) does not match any subterm of the goal
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,The reference map_in_iff was not found in the current environment.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference NoDup_filterMap was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,add_err,Syntax error: 'rec' expected after 'let' (in [tactic:binder_tactic]).
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""?M1608 ++ ?M1609 ++ ?M1610"" in the current goal."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,"In environment B : BaseParams M : MultiParams B d : Decomposition B M A : Type R : A -> A -> Prop x : A xs, l2 : list A H1a : forall y : A, In y xs -> R x y H1b : distinct_pairs_and R xs H2 : distinct_pairs_and R l2 H3 : forall x0 y : A, In x0 (x :: xs) -> In y l2 -> R x0 y IH : distinct_pairs_and R xs ->      (forall x y : A, In x xs -> In y l2 -> R x y) ->      distinct_pairs_and R (xs ++ l2) Unable to unify ""distinct_pairs_and R (xs ++ l2)"" with  ""distinct_pairs_and R xs""."
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,The reference net was not found in the current environment.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,Not an inductive product.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,No such hypothesis: Hvalid
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat c : name s : infseq (event network label (name * (input + list output))) Hexec : lb_step_execution lb_step_async s Hfair : weak_fairness lb_step_async label_silent s Hin : In {| pSrc := c; pDst := Server; pBody := Unlock |}         (nwPackets (evt_a (hd s))) Unable to unify ""network"" with ""MsgUnlock = label_silent""."
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,No such hypothesis: H
disk_correct_reboot,systems/LogCorrect.v,False,add_err,Syntax error: '<-' or '->' or [constr_with_bindings_arg] expected after 'apply' (in [tactic:simple_tactic]).
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,Not an inductive product.
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,feedback,No product even after head-reduction.
dup_drop_step_star_step_1,core/DupDropReordering.v,False,feedback,Unable to find an instance for the variable y.
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map overlay_fst : NameOverlayParams multi_fst overlay_snd : NameOverlayParams multi_snd overlay_map_congr : NameOverlayParamsTotalMapCongruency overlay_fst                       overlay_snd name_map m : msg m' : msg h : name failed : list name H_eq : pt_map_msg m = Some m' Unable to unify ""NoDup (remove_all ?M1612 ?M1613 ?M1614)"" with  ""NoDup nodes""."
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,"In environment num_Clients : nat h : option Client_index c : Client_index i : Msg Hneq : i <> Unlock Hme : trace_mutual_exclusion' h [] Unable to unify ""True"" with  ""match i with   | Unlock =>       match h with       | Some m => if fin_eq_dec num_Clients c m then True else True       | None => True       end   | _ => True   end""."
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,feedback,Unable to find an instance for the variable P.
mgv_ghost_simulation_1,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params net : network failed' : list name p : packet xs, ys : list packet d : data l : list (name * (ghost_msg * msg)) out0 : list output H3 : nwPackets net = xs ++ p :: ys H4 : ~ In (pDst p) failed' H6 : mgv_refined_net_handlers (pDst p) (pSrc p) (pBody p)        (nwState net (pDst p)) = (out0, d, l) The term ""pDst p"" has type ""name"" while it is expected to have type  ""network""."
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat x : network Unable to unify ""locks_correct init_handlers"" with  ""mutual_exclusion (nwState x)""."
locks_correct_update_false,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : Data x : Client_index Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t Hheld : held st' = false n : Client_index Hheld_client : held (update name_eq_dec sigma (Client x) st' (Client n)) =                true The term ""Client n"" has type ""Name"" while it is expected to have type  ""Client_index""."
last_holder'_input_extend,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""length (?M1605 ++ ?M1606)"" in Hlast."
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
PrimaryNetHandler_no_msgs,systems/Counter.v,True,,
log_input_handlers_spec,systems/LogCorrect.v,False,feedback,"Found no subterm matching ""let                            '(out, d, ps) := input_handlers h m (log_data st)                             in                             log_handler_result snapshot_interval                               (log_num_entries st)                                (inl m) out d ps"" in H_apply."
log_step_failure_star_simulation,systems/LogCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params orig_failure_params : FailureParams orig_multi_params data_serializer : Serializer data name_serializer : Serializer name msg_serializer : Serializer msg input_serializer : Serializer input snapshot_interval : nat net : do_network failed : list do_name x : list do_name * do_network Unable to unify ""refl_trans_1n_trace ?M1614 ?M1615 ?M1617 (?M1618 ++ ?M1619)"" with  ""refl_trans_1n_trace step_failure step_failure_init     (failed, revertLogNetwork net) []""."
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,False,feedback,The LHS of pt_map_update_eq     (fun n : name =>      pt_map_data (update name_eq_dec _ _ _ (tot_map_name_inv n))) does not match any subterm of the goal
