name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,feedback,Not an inductive goal with 1 constructor.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of Z.add_comm     (_ + _)%Z does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x : list a Unable to unify ""?M2178 ++ ?M2179 ++ ?M2180 = (?M2178 ++ ?M2179) ++ ?M2180"" with ""(mappend mempty x == x) = true""."
enumFromTo_Int_iterates',GHC/Enum.v,False,add_err,Syntax error: ']' expected after [tactic_then_gen] (in [tactic:tactic_expr]).
eftInt_aux_unroll,GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
eq_replace_r,GHC/Base.v,False,feedback,"In environment a : Type H0 : Eq_ a v1 : EqLaws a v2, v3, H : a The term ""v2"" has type ""a"" while it is expected to have type ""EqLaws a""."
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,"Found no subterm matching ""N_popcount (Pos.Nsucc_double (N.pos p))"" in the current goal."
EqExact_Data_Either_Either,Data/Either.v,False,feedback,No product even after head-reduction.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,feedback,The reference any_nil was not found in the current environment.
Eq_eq_Word,GHC/Base.v,False,feedback,"In environment x, y : Word Unable to unify ""reflect (?M2072 = ?M2073) (eqb ?M2072 ?M2073)"" with  ""reflect (x = y) (x == y)""."
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B l : list (A * B) la1 : list A lb1 : list B EQ : unzip l = (la1, lb1) H : (a :: la1, b :: lb1) = (a :: la1, b :: lb1) IHl : (la1, lb1) = (a :: la1, b :: lb1) -> l = zip (a :: la1) (b :: lb1) Unable to unify ""l = zip (a :: la1) (b :: lb1)"" with  ""l = zip la1 lb1""."
iterates'_In,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,"Found no subterm matching ""List.break (fun c : Char => c == newline)                              (a :: s')"" in the current goal."
eq_replace_l,GHC/Base.v,False,feedback,not a rewritable relation: (EqLaws a) in rule H0
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,The LHS of IH     (foldl' f z xs) does not match any subterm of the goal
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,left_identity: Not a projection.
eftInt_aux_pf,../base/GHC/Enum.v,True,,
parametric_eq_sym,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x, y : a Hxy : x == y The term ""H0"" has type ""EqLaws a"" while it is expected to have type  ""?x = ?y""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,No product even after head-reduction.
Build_EqLaws_reflect,GHC/Base.v,False,feedback,"In environment t : Type H : Eq_ t X : forall x y : t, reflect (x = y) (x == y) H0 : forall x y : t, (x == y) = ~~ (x /= y) Unable to unify ""(?M2078 == ?M2079) = ~~ (?M2078 /= ?M2079)"" with  ""forall x : t, x == x""."
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,"Found no subterm matching ""(?M1683 + (?M1684 + ?M1685))%N"" in the current goal."
In_zip_swap,GHC/List.v,False,feedback,The reference in_zip_iff was not found in the current environment.
Eq_Symmetric,GHC/Base.v,False,feedback,The reference sym was not found in the current environment.
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f t x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,False,feedback,The reference a was not found in the current environment.
dropWhile_cons_prop,../base/Data/OldList.v,True,,
iterates'_length,GHC/Enum.v,False,feedback,The LHS of IHn'     (length (iterates' n' f z)) does not match any subterm of the goal
hs_coq_reverse,GHC/List.v,False,feedback,"Found no subterm matching ""reverse xs"" in the current goal."
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,False,feedback,The reference x was not found in the current environment.
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,False,feedback,The reference Foldable__list_foldl was not found in the current environment.
instance_FunctorLaws_identity,Data/Functor/Identity.v,False,feedback,The reference functional_extensionality was not found in the current environment.
iter_plus_nat,GHC/Enum.v,False,feedback,n is already used.
Foldable_foldr_cons,Data/Foldable.v,True,,
lines_cons,Data/OldList.v,False,feedback,"Found no subterm matching ""c == newline"" in the current goal."
Foldable_foldl'_app,Data/Foldable.v,False,feedback,a is already used.
flat_map_cons_id,GHC/Base.v,True,,
Eq_eq_Int,GHC/Base.v,False,feedback,Cannot coerce eq to an evaluable reference.
mapAccumL_cons,Data/Traversable.v,False,feedback,"In environment a : Type b : Type c : Type x : b xs : list b f : a -> b -> a * c s : a Unable to unify  ""let   '(s', y) := f s x in    let    '(s'', ys) := Utils.runStateL (traverse (Utils.Mk_StateL ∘ flip f) xs) s'     in (s'', y :: ys)"" with ""Utils.runStateL (traverse (Utils.Mk_StateL ∘ flip f) (x :: xs)) s""."
Eq_Equivalence,GHC/Base.v,True,,
break_length,../base/Data/OldList.v,False,feedback,"In environment A : Type p : A -> bool x : A xs : list A E : p x = false w', s''' : list A EB : List.break p xs = (w', s''') H : (x :: w', s''') = (x :: w', s''') IH : (x :: w', s''') = (w', s''') -> length s''' <= length xs Unable to unify ""List.break p xs = (w', s''')"" with  ""(x :: w', s''') = (w', s''')""."
Neq_sym,GHC/Base.v,False,feedback,No product even after head-reduction.
mapAccumL_nil,Data/Traversable.v,True,,
Eq_m,GHC/Base.v,False,feedback,Unable to find an instance for the variable r.
EqExact_Proxy,Data/Proxy.v,False,feedback,No product even after head-reduction.
Neq_atrans,GHC/Base.v,False,feedback,The RHS of negb_and     (~~ _ || ~~ _) does not match any subterm of the goal
reverse_unit,GHC/List.v,False,add_err,Syntax Error: Lexer: Undefined token
hs_coq_partition,Data/OldList.v,True,,
Eq_Reflexive,GHC/Base.v,False,feedback,Applied theorem does not have enough premises.
reverse_append,GHC/List.v,False,feedback,"Found no subterm matching ""?M2050 ++ ?M2051 ++ ?M2052"" in the current goal."
N_popcount_1_pow2,Data/Bits/Popcount.v,False,feedback,The reference N.succ_not_0 was not found in the current environment.
iterates_length,GHC/Enum.v,False,feedback,The LHS of IHn     (length (iterates n f z)) does not match any subterm of the goal
Pop_popcount_diff,Data/Bits/Popcount.v,False,feedback,The reference N_popcount_pos was not found in the current environment.
elem_eq,Data/Foldable.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 4 patterns.
length_zip,GHC/List.v,False,feedback,"In environment a : Type b : Type x : a xs : list a y : b ys : list b H : S (Datatypes.length xs) = S (Datatypes.length ys) IH : Datatypes.length xs = S (Datatypes.length ys) ->      Datatypes.length xs = Datatypes.length (zip xs (y :: ys)) Unable to unify ""S (Datatypes.length (zip xs ys))"" with  ""S (Datatypes.length xs)""."
In_zip_fst,GHC/List.v,False,feedback,Unable to find an instance for the variable d.
instance_ApplicativeLaws_option,GHC/Base.v,False,feedback,(in proof instance_ApplicativeLaws_option): Attempt to save an incomplete proof
N_popcount_pow2,Data/Bits/Popcount.v,False,feedback,"Found no subterm matching ""(?M1689 ^ N.succ ?M1690)%N"" in the current goal."
