name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Variable lem should be bound to a term but is bound to a intropattern.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,congruence failed.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data p : packet c : Client_index H : pDst p = Client c H0 : pBody p = Locked H1 : pBody p = Locked ->      exists c : Client_index,        valid_locked (queue (sigma Server)) (held (sigma (Client c))) c p The term ""eq_refl"" has type ""pBody p = pBody p"" while it is expected to have type ""pBody p = Locked"" (cannot unify  ""pBody p"" and ""Locked"")."
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,The reference in_filter was not found in the current environment.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,The reference t was not found in the current environment.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet H : Unlock = Locked -> False Hlocked : pBody p = Locked Unable to unify ""Lock"" with ""Unlock""."
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat st : network tr : list (name * (input + list output)) H : step_async_star step_async_init st tr st0 : network tr0 : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,(in proof inductive_invariant_true_in_reachable): Attempt to save an incomplete proof
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No such goal.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference H0 was not found in the current environment.
