name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,feedback,The reference lia was not found in the current environment.
Foldable_length_cons,Data/Foldable.v,False,feedback,"In environment a : Type x : a xs : list a Unable to unify ""Z.succ (length xs)"" with ""Zlength (x :: xs)""."
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,False,feedback,"Found no subterm matching ""foldl ?M2051 (?M2051 ?M2052 ?M2053) ?M2054"" in the current goal."
instance_MonoidLaws_list,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x : list a Unable to unify ""forall x0 : ?t, x0 == x0"" with  ""(mappend x mempty == x) = true""."
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,"Could not fill dependent hole in ""apply"""
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The reference Z.lt_wf_ind was not found in the current environment.
eq_replace_r,GHC/Base.v,False,feedback,not a rewritable relation: a in rule H_eq_v2_v3
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,The reference Pos.Nsucc_double_spec was not found in the current environment.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,Applied theorem does not have enough premises.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,The reference Pos.pow_eqn was not found in the current environment.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of fold_right_app     (fold_right _ _ (_ ++ _)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,False,feedback,"Anomaly ""Evar ?X704 was not declared."" Please report at http://coq.inria.fr/bugs/."
unzip_zip,GHC/List.v,False,feedback,No primitive equality found.
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive product.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,add_err,Syntax error: 'rec' expected after 'let' (in [tactic:binder_tactic]).
eq_replace_l,GHC/Base.v,False,feedback,_tmp is used in conclusion.
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,The LHS of IH     (foldl' f z l') does not match any subterm of the goal
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,Not an inductive product.
eftInt_aux_pf,../base/GHC/Enum.v,False,feedback,"No such bound variable x (possible names are: n, m and p)."
parametric_eq_sym,GHC/Base.v,False,feedback,"Unable to apply lemma of type ""symmetric _==_"" on hypothesis of type  ""is_true (x == y)""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,The LHS of semigroup_assoc     ((_ <<>> (_ <<>> _)) == ((_ <<>> _) <<>> _)) matches but type classes inference fails
Build_EqLaws_reflect,GHC/Base.v,False,feedback,Applied theorem does not have enough premises.
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,The reference N.ldiff_land was not found in the current environment.
In_zip_swap,GHC/List.v,False,feedback,Expects a disjunctive pattern with 0 branches.
Eq_Symmetric,GHC/Base.v,False,feedback,"Unable to apply lemma of type ""symmetric _==_"" on hypothesis of type ""a""."
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f ys x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,True,,
dropWhile_cons_prop,../base/Data/OldList.v,False,feedback,"Found no subterm matching ""c :: s'"" in the current goal."
iterates'_length,GHC/Enum.v,False,feedback,The LHS of IH     (length (iterates' n f z)) does not match any subterm of the goal
hs_coq_reverse,GHC/List.v,False,feedback,"Found no subterm matching ""reverse xs"" in the current goal."
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,False,feedback,Cannot coerce instance_FunctorLaws_Data_Either_Either to an evaluable reference.
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,False,feedback,The LHS of IH     (Foldable.Foldable__list_foldl f z l') does not match any subterm of the goal
instance_FunctorLaws_identity,Data/Functor/Identity.v,False,feedback,The reference Identity.fmap was not found in the current environment.
iter_plus_nat,GHC/Enum.v,False,feedback,The LHS of Nat.add_0_r     (_ + 0)%nat does not match any subterm of the goal
Foldable_foldr_cons,Data/Foldable.v,False,feedback,"Unable to find an instance for the variables a, b."
lines_cons,Data/OldList.v,False,add_err,Syntax error: 'rec' expected after 'let' (in [tactic:binder_tactic]).
Foldable_foldl'_app,Data/Foldable.v,False,feedback,The LHS of hs_coq_foldl'_list     (foldl' _ _ _) does not match any subterm of the goal
flat_map_cons_id,GHC/Base.v,True,,
Eq_eq_Int,GHC/Base.v,False,feedback,No assumption in ((x = y -> (x == y) = true) /\ ((x == y) = true -> x = y))
mapAccumL_cons,Data/Traversable.v,False,feedback,The reference fst_split was not found in the current environment.
Eq_Equivalence,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x, y : a H1 : x == y Unable to unify ""true"" with ""y == x""."
break_length,../base/Data/OldList.v,False,feedback,"Found no subterm matching ""(w, s'')"" in Heq."
Neq_sym,GHC/Base.v,False,feedback,"Could not fill dependent hole in ""apply"""
mapAccumL_nil,Data/Traversable.v,True,,
Eq_m,GHC/Base.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
EqExact_Proxy,Data/Proxy.v,False,feedback,No product even after head-reduction.
Neq_atrans,GHC/Base.v,False,feedback,The reference orrP was not found in the current environment.
reverse_unit,GHC/List.v,False,feedback,"Found no subterm matching ""(?M2050 ++ ?M2051) ++ ?M2052"" in the current goal."
