name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"Found no subterm matching ""(?M1587 ++ ?M1588) ++ ?M1589"" in the current goal."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,congruence failed.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data p : packet c : Client_index H : pDst p = Client c H0 : pBody p = Locked H1 : pBody p = Locked ->      exists c : Client_index,        valid_locked (queue (sigma Server)) (held (sigma (Client c))) c p The term ""eq_refl"" has type ""pBody p = pBody p"" while it is expected to have type ""pBody p = Locked"" (cannot unify  ""pBody p"" and ""Locked"")."
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,Cannot find a relation to rewrite.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,The reference t was not found in the current environment.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,(in proof nwnw_locked_lock): Attempt to save an incomplete proof
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat st : network tr : list (name * (input + list output)) H : step_async_star step_async_init st tr st0 : network tr0 : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,(in proof inductive_invariant_true_in_reachable): Attempt to save an incomplete proof
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No such goal.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,net already used
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No such hypothesis: H0
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,assumptions should be named explicitly
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference p was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params nwPackets : list packet nwState : name -> data Unable to unify ""map (fun x : ?M1627 => x) ?M1628 = ?M1628"" with  ""map     (fun x : packet =>      {|      pSrc := pSrc                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pDst := pDst                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pBody := snd                 (pBody                    {|                    pSrc := pSrc x;                    pDst := pDst x;                    pBody := (ghost_msg_default, pBody x) |}) |}) nwPackets =   nwPackets""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in the current goal."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,No such goal.
