name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,feedback,Tactic failure: Incorrect number of goals (expected 2 tactics).
Foldable_length_cons,Data/Foldable.v,True,,
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of app_nil_l     (nil ++ _) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,True,,
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The reference eftInt_aux_equation was not found in the current environment.
eq_replace_r,GHC/Base.v,False,feedback,_tmp is used in conclusion.
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,Cannot find a relation to rewrite.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,No product even after head-reduction.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,"In environment n : positive IHn : Pos_popcount (2 ^ n) = 1%positive Unable to unify ""1%positive"" with  ""Pos_popcount     (Pos.iter (fun y : positive => (y~0)%positive)        (Pos.iter (fun y : positive => (y~0)%positive) 1%positive n) n)""."
Foldable_any_app,Data/Foldable.v,False,feedback,_tmp is used in conclusion.
Eq_eq_Word,GHC/Base.v,False,feedback,"Anomaly ""Evar ?X702 was not declared."" Please report at http://coq.inria.fr/bugs/."
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B l : list (A * B) la' : list A lb' : list B Heq : unzip l = (la', lb') IH : forall (la : list A) (lb : list B),      (la', lb') = (la, lb) -> l = zip la lb la : list A lb : list B H1 : (let (as_, bs) :=         Base.foldr           (fun (arg_0__ : A * B) (arg_1__ : list A * list B) =>            let (a, b) := arg_0__ in            let (as_, bs) := arg_1__ in (a :: as_, b :: bs))            ([], []) l in       (a :: as_, b :: bs)) = (la, lb) Unable to unify ""l = zip ?M2099 ?M2100"" with ""(a, b) :: l = zip la lb""."
iterates'_In,GHC/Enum.v,False,feedback,"Unable to apply lemma of type  ""forall len start n : nat, In n (seq start len) <-> start <= n < start + len"" on hypothesis of type ""Nat.iter i f z = a""."
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,"In environment s : String Unable to unify  ""if List.null s   then nil   else    let    '(h, t) :=     let     '(l, s') := List.break (fun arg_4__ : Char => arg_4__ == newline) s in      (l, match s' with          | nil => nil          | _ :: s'' => lines s''          end) in h :: t"" with ""lines s""."
eq_replace_l,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a v1, v2, v3 : a H1 : v2 == v3 Unable to unify ""v3"" with ""v2""."
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,"In environment A : Type B : Type f : B -> A -> B z : B x : A xs : list A IH : foldl' f z xs = fold_left f xs z Unable to unify ""foldl' f z xs = fold_left f xs z"" with  ""foldl' f z (x :: xs) = fold_left f xs (f z x)""."
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,The reference Either.Monad__Either_return__ was not found in the current environment.
eftInt_aux_pf,../base/GHC/Enum.v,True,,
parametric_eq_sym,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a EL : EqLaws a The term ""Eq_sym"" has type ""symmetric (T:=a) _==_"" while it is expected to have type ""Symmetric (fun x y : a => x == y)""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,True,,
Build_EqLaws_reflect,GHC/Base.v,False,feedback,The reference x was not found in the current environment.
N_popcount_diff,Data/Bits/Popcount.v,True,,
In_zip_swap,GHC/List.v,False,feedback,"In environment A : Type B : Type x : A y : B a : A xs : list A IH : forall ys : list B, In (x, y) (zip xs ys) -> In (y, x) (zip ys xs) b : B bs : list B Hin : (a, b) = (x, y) \/ In (x, y) (zip xs bs) Heq : (a, b) = (x, y) Unable to unify ""(y, x)"" with ""(b, a)""."
Eq_Symmetric,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x : ?t y : ?t Unable to unify ""(x == y) = (y == x)"" with  ""(fun x y : a => is_true (x == y)) x y ->   (fun x y : a => is_true (x == y)) y x""."
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f ys x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,False,feedback,No product even after head-reduction.
dropWhile_cons_prop,../base/Data/OldList.v,False,feedback,"In environment A : Type c, x : A s : list A p : A -> bool s' : list A E : p x = true H : c :: s' = List.dropWhile p s IH : c :: s' = List.dropWhile p s -> p c = false The term ""c"" has type ""A"" while it is expected to have type  ""c :: s' = List.dropWhile p s""."
iterates'_length,GHC/Enum.v,True,,
hs_coq_reverse,GHC/List.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,False,feedback,The LHS of functor_identity     (fmap id _) does not match any subterm of the goal
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,True,,
instance_FunctorLaws_identity,Data/Functor/Identity.v,True,,
iter_plus_nat,GHC/Enum.v,True,,
Foldable_foldr_cons,Data/Foldable.v,True,,
lines_cons,Data/OldList.v,True,,
Foldable_foldl'_app,Data/Foldable.v,False,feedback,The LHS of hs_coq_foldl'_list     (foldl' _ _ _) does not match any subterm of the goal
flat_map_cons_id,GHC/Base.v,True,,
Eq_eq_Int,GHC/Base.v,True,,
