name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,0,
iterates_In,GHC/Enum.v,40,split;intro;induction;simpl;destruct;exists;split;omega;subst;reflexivity;contradiction;simpl;destruct;exists;split;omega;subst;reflexivity;specialize;destruct;exists;split;omega;simpl;subst;reflexivity;intro;destruct;subst;induction;simpl;left;reflexivity;destruct;simpl;omega;simpl;right;apply;omega
Foldable_length_cons,Data/Foldable.v,4,simpl;rewrite;rewrite;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,94,constructor;intros;induction;simpl;reflexivity;simpl;f_equal;apply;intros;induction;simpl;reflexivity;simpl;f_equal;apply;intros;induction;simpl;reflexivity;simpl;f_equal;apply;intros;induction;simpl;induction;simpl;induction;simpl;induction;simpl;reflexivity;simpl;f_equal;apply;simpl;f_equal;apply;simpl;f_equal;apply;simpl;induction;simpl;induction;simpl;induction;simpl;reflexivity;simpl;f_equal;apply;simpl;f_equal;apply;simpl;f_equal;apply;intros;induction;simpl;induction;simpl;induction;simpl;induction;simpl;reflexivity;simpl;f_equal;apply;simpl;f_equal;apply;simpl;f_equal;apply;simpl;induction;simpl;induction;simpl;induction;simpl;reflexivity;simpl;f_equal;apply;simpl;f_equal;apply;simpl;f_equal;apply
enumFromTo_Int_iterates',GHC/Enum.v,0,
eftInt_aux_unroll,GHC/Enum.v,5,unfold;destruct;rewrite;reflexivity;reflexivity
eq_replace_r,GHC/Base.v,19,intros;destruct;reflexivity;apply;subst;rewrite;inversion;apply;subst;rewrite;inversion;apply;subst;rewrite;inversion;apply;subst;rewrite;inversion
N_popcount_Nsucc_double,Data/Bits/Popcount.v,9,intro;unfold;rewrite;rewrite;rewrite;rewrite;reflexivity;intro;discriminate
