name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation c : A os' : list trace x, x', x'' : A cs, cs' : list trace H : step x x' cs H1 : refl_trans_1n_trace step x' x'' cs' H2 : refl_trans_1n_trace step x'' c os' IHrefl_trans_1n_trace : refl_trans_1n_trace step x'' c os' ->                         refl_trans_1n_trace step x' c (cs' ++ os') Unable to unify ""step x x' cs"" with ""step x ?x' (cs ++ cs')""."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,congruence failed.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,Unexpected name (at most 2 introduction patterns were expected in the branch).
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,The reference member_In was not found in the current environment.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hhead : at_head_of_queue sigma c Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t n : Client_index Hheld' : held (update name_eq_dec sigma (Client c) st' (Client n)) = true Heq : Client c = Client n Unable to unify ""at_head_of_queue sigma c"" with  ""queue (update name_eq_dec sigma (Client c) st' Server) =   n :: queue (sigma Server)""."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet H : Unlock = Locked -> False Hp : pBody p = Locked Unable to unify ""Lock"" with ""Unlock""."
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,No such bound variable a (no bound variables at all in the expression).
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"Unable to apply lemma of type  ""forall n : Client_index,   held (sigma (Client n)) = true ->   exists t : list Client_index, queue (sigma Server) = n :: t"" on hypothesis of type  ""held (update name_eq_dec sigma (Client c) st' (Client n)) = true""."
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"Unable to apply lemma of type  ""forall (l : list (name * msg)) (p p' : packet),   pt_map_packet p = Some p' ->   filterMap pt_map_packet     (map        (fun m : name * msg =>         {| pSrc := pDst p; pDst := fst m; pBody := snd m |}) l) =   map     (fun m : name * msg =>      {| pSrc := pDst p'; pDst := fst m; pBody := snd m |})     (filterMap pt_map_name_msg l)"" on hypothesis of type  ""BaseParams""."
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No such hypothesis: H3
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,assumptions should be named explicitly
at_head_of_queue_intro,systems/LockServ.v,True,,
