name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,Not an inductive goal with 1 constructor.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,The reference refl_trans_1n_trace_refl was not found in the current environment.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""length (?M1605 ++ ?M1606)"" in Hlast."
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,The reference Hqueue was not found in the current environment.
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with ""trace_outputs [(h, inl i)]""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params net : network src, dst : name body : msg HIn : In {| pSrc := src; pDst := dst; pBody := body |} (nwPackets net) HNotIn : ~          In (tmNum (pBody {| pSrc := src; pDst := dst; pBody := body |}))            (assoc_default name_eq_dec               (tdSeen                  (nwState net                     (pDst {| pSrc := src; pDst := dst; pBody := body |})))               (pSrc {| pSrc := src; pDst := dst; pBody := body |}) []) Unable to unify  ""In {| pSrc := src; pDst := dst; pBody := body |} (nwPackets net)"" with  ""In {| pSrc := src; pDst := dst; pBody := body |}     (filter        (fun p : seq_num_packet =>         if          member (tmNum (pBody p))            (assoc_default name_eq_dec (tdSeen (nwState net (pDst p)))               (pSrc p) [])         then false         else true)        (dedup pkt_eq_dec (let (nwPackets, _) := net in nwPackets)))""."
reachable_intro,systems/LockServ.v,False,feedback,The reference reachable_intro_base was not found in the current environment.
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hhead : at_head_of_queue sigma c Hcorrect : forall n : Client_index,            held (sigma (Client n)) = true ->            exists t : list Client_index, queue (sigma Server) = n :: t Unable to unify  ""forall n : Client_index,   held (sigma (Client n)) = true ->   exists t : list Client_index, queue (sigma Server) = n :: t"" with  ""forall n : Client_index,   held (if name_eq_dec (Client n) (Client c) then st' else sigma (Client n)) =   true ->   exists t : list Client_index,     queue (if name_eq_dec Server (Client c) then st' else sigma Server) =     n :: t""."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,No product even after head-reduction.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,The reference step_async_star_mutual_exclusion was not found in the current environment.
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,Unable to find an instance for the variable n.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,Expects a disjunctive pattern with 6 branches.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,The reference map_in was not found in the current environment.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference NoDup_filter was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,False,feedback,Tactic failure:  The relation ex is not a declared reflexive relation. Maybe you need to require the Coq.Classes.RelationClasses library.
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,The reference mgv_reghost was not found in the current environment.
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in H1."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,The reference distinct_pairs was not found in the current environment.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,The reference step_async_refl was not found in the current environment.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,Cannot coerce mkPacket to an evaluable reference.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : data p : packet Hhead : forall c : Client_index,         at_head_of_queue sigma c ->         at_head_of_queue (update name_eq_dec sigma Server st') c Unable to unify ""Locked"" with ""pBody p""."
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,Cannot coerce eventually to an evaluable reference.
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,The reference Hlock was not found in the current environment.
disk_correct_reboot,systems/LogCorrect.v,False,feedback,The reference H_snapshot was not found in the current environment.
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,Not an inductive product.
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,feedback,No such hypothesis: out'
dup_drop_step_star_step_1,core/DupDropReordering.v,False,feedback,Unable to find an instance for the variable y.
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,add_err,Syntax Error: Lexer: Unterminated comment
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,No product even after head-reduction.
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,feedback,The reference filterMap_nil was not found in the current environment.
mgv_ghost_simulation_1,core/GhostSimulations.v,False,add_err,Syntax error: '|' or ']' expected (in [or_and_intropattern]).
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,The reference reachable_intro was not found in the current environment.
locks_correct_update_false,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : Data x : Client_index Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t Hheld : held st' = false The term ""Client x"" has type ""Name"" while it is expected to have type ""name""."
last_holder'_input_extend,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""length (?M1605 ++ ?M1606)"" in Hlast."
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
PrimaryNetHandler_no_msgs,systems/Counter.v,False,feedback,Not a discriminable equality.
log_input_handlers_spec,systems/LogCorrect.v,False,feedback,Unable to find an instance for the variable x.
log_step_failure_star_simulation,systems/LogCorrect.v,False,feedback,The reference step_failure_star_nil was not found in the current environment.
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,False,add_err,Syntax Error: Lexer: Undefined token
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,False,feedback,Not the right number of missing arguments (expected 0).
inputs_m_inr,systems/PrimaryBackup.v,False,feedback,"Found no subterm matching ""?M1599 ++ []"" in the current goal."
Nth_app,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""?M1613 ++ []"" in the current goal."
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,False,feedback,The reference tot_map_name_inv_inv was not found in the current environment.
nwnw_lock,systems/LiveLockServ.v,False,feedback,The reference LockServ_network_invariant_property was not found in the current environment.
locks_correct_net_handlers,systems/LiveLockServ.v,False,feedback,"Unable to apply lemma of type  ""forall n : Client_index,   held (sigma (Client n)) = true ->   exists t : list Client_index, queue (sigma Server) = n :: t"" on hypothesis of type  ""pBody p = Locked ->   exists c : Client_index,     valid_locked (queue (sigma Server)) (held (sigma (Client c))) c p""."
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,False,feedback,No such hypothesis: H_step
decomposition_invariant,core/StatePacketPacketDecomposition.v,False,feedback,"(in proof decomposition_invariant): Attempt to save a proof with given up goals. If this is really what you want to do, use Admitted in place of Qed."
map_id_tr,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params ghost_params : GhostMultiParams multi_params n : name lo : list output out' : list (name * (input + list output)) IH : map        (fun e : name * (input + list output) =>         let (n, s) := e in         match s with         | inl io => (n, inl io)         | inr lo => (n, inr (map id lo))         end) out' = out' Unable to unify ""(n, inr lo) :: out'"" with ""(n, inr (map id lo)) :: out'""."
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference step_ordered_intro was not found in the current environment.
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,add_err,Syntax error: '|' or ']' expected (in [or_and_intropattern]).
inputs_with_key_plus_key,systems/VarD.v,False,feedback,The reference FMapList.fold_right_app was not found in the current environment.
remove_neq_o,lib/FMapVeryWeak.v,False,feedback,The reference find_mapsto_iff was not found in the current environment.
ack_in_flight_to_primary_backup,systems/Counter.v,False,feedback,"In environment p : packet H : pDst p = backup Unable to unify ""0"" with  ""length     match       (if Msg_eq_dec (pBody p) ack        then if Name_eq_dec backup primary then Some tt else None        else None)     with     | Some y => [y]     | None => []     end""."
step_1_star_trace_state_correct,systems/VarD.v,False,feedback,The reference step_state_correct was not found in the current environment.
LockServ_nwnw_net_handlers_old_new,systems/LiveLockServ.v,False,feedback,Applied theorem does not have enough premises.
not_in_map_not_in_failed,core/TotalMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsTotalMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgTotalMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsTotalMapCongruency base_map name_map msg_map tot_map_output_injective : forall o o' : output,                            tot_map_output o = tot_map_output o' -> o = o' fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsTotalMapCongruency fail_fst fail_snd base_map overlay_fst : NameOverlayParams multi_fst overlay_snd : NameOverlayParams multi_snd overlay_map_congr : NameOverlayParamsTotalMapCongruency overlay_fst                       overlay_snd name_map failed : list name n : name H : ~ In n (map tot_map_name failed) H0 : In (tot_map_name_inv n) failed Unable to unify ""In (tot_map_name_inv n) failed"" with  ""tot_map_name (tot_map_name_inv n) = n""."
pt_ext_map_update_eq,core/PartialExtendedMapSimulations.v,False,feedback,No product even after head-reduction.
step_ordered_dynamic_star_lb_step_reachable,core/LabeledNet.v,False,feedback,"In environment P : BaseParams labeled_multi_params : LabeledMultiParams P overlay_params : NameOverlayParams unlabeled_multi_params new_msg_params : NewMsgParams unlabeled_multi_params a : ordered_dynamic_network l : label a' : ordered_dynamic_network tr, tr' : list (name * (input + output)) H : refl_trans_1n_trace step_ordered_dynamic step_ordered_dynamic_init a tr' H0 : lb_step_ordered_dynamic a l a' tr Unable to unify ""ordered_dynamic_network"" with  ""refl_trans_1n_trace step_ordered_dynamic step_ordered_dynamic_init a'     (tr' ++ tr)""."
pt_map_odnet_tot_map_label_event_strong_fairness,core/PartialMapExecutionSimulations.v,False,feedback,Unable to find an instance for the variable l.
step_1_star_singleton_trace,systems/PrimaryBackup.v,False,feedback,The reference step_1_singleton was not found in the current environment.
lb_step_ordered_failure_tot_mapped_simulation_1,core/TotalMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
step_failure_serialize_simulation_star,systems/SerializedMsgParamsCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params orig_failure_params : FailureParams orig_multi_params orig_name_overlay_params : NameOverlayParams orig_multi_params orig_fail_msg_params : FailMsgParams orig_multi_params orig_new_msg_params : NewMsgParams orig_multi_params orig_msg_serializer : Serializer msg net : network failed : list name x : list name * network Unable to unify ""refl_trans_1n_trace ?M1618 ?M1619 ?M1621 (?M1622 ++ ?M1623)"" with  ""refl_trans_1n_trace step_failure step_failure_init     (failed, serialize_net net) []""."
reachable_intro,systems/LiveLockServ.v,False,feedback,The reference reachable_intro_base was not found in the current environment.
refl_trans_n1_1n_trace,core/Net.v,False,feedback,The reference rt1n_trace_step was not found in the current environment.
adjacent_to_irreflexive,core/NameOverlay.v,False,feedback,Not an inductive product.
lb_step_execution_lb_step_ordered_dynamic_failure_tot_map_odnet_infseq,core/TotalMapExecutionSimulations.v,False,feedback,"Cannot find the elimination combinator lb_step_execution_ind, the elimination of the inductive definition lb_step_execution on sort Prop is probably not allowed."
In_n_Nodes,systems/LockServ.v,False,feedback,The reference some_inclusion_lemma was not found in the current environment.
last_holder'_locked_some_eq,systems/LockServ.v,False,feedback,"Found no subterm matching ""?M1599 ++ []"" in H."
locks_correct_unlock_true_to_false,systems/LockServ.v,False,feedback,The reference eq_dec was not found in the current environment.
tot_map_in_snd,core/TotalMapSimulations.v,False,feedback,Not an inductive product.
locks_correct_true_at_head_of_queue,systems/LiveLockServ.v,False,feedback,Unable to find an instance for the variable n.
dup_drop_step_star_step_n1,core/DupDropReordering.v,False,feedback,The reference dup_drop_step_star_refl was not found in the current environment.
locks_correct_invariant,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
locks_correct_unlock_at_head,systems/LiveLockServ.v,False,feedback,The reference Hhead was not found in the current environment.
network_eq,systems/SeqNumCorrect.v,True,,
locks_correct_locked_invariant,systems/LiveLockServ.v,False,feedback,Not an inductive product.
post_net_analyze_sent_packet,core/StatePacketPacketDecomposition.v,False,feedback,"In environment B : BaseParams M : MultiParams B d : Decomposition B M h : name p : packet xs, ys : list packet H : In p (xs ++ ys) Unable to unify ""In p (xs ++ ys)"" with ""In p xs""."
ZOOOPST_cons_intro,systems/PrimaryBackup.v,False,feedback,Tactic failure: Incorrect number of goals (expected 1 tactic).
Nth_tl,systems/LiveLockServ.v,False,feedback,No such contradiction
NOABT_singleton_inl,systems/PrimaryBackup.v,False,feedback,Not the right number of missing arguments (expected 0).
locks_correct_locked_at_head,systems/LockServ.v,False,feedback,The reference Hlocked_head was not found in the current environment.
pt_map_odnet_tot_map_labeled_event_state_continuously_enabled,core/PartialMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 2 branches.
ZOOOPST_singleton_singleton,systems/PrimaryBackup.v,False,feedback,Not an inductive goal with 1 constructor.
