name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,No such contradiction
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""Client c"" in Hdst'."
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params net : network p : seq_num_packet Hin : In p (nwPackets net) Hnot : ~        In (tmNum (pBody p))          (assoc_default name_eq_dec (tdSeen (nwState net (pDst p)))              (pSrc p) []) Unable to unify  ""(In ?M1624 (filter ?M1623 ?M1625) ->    In ?M1624 ?M1625 /\ ?M1623 ?M1624 = true) /\   (In ?M1624 ?M1625 /\ ?M1623 ?M1624 = true ->    In ?M1624 (filter ?M1623 ?M1625))"" with ""revertPacket p = revertPacket p""."
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hst' : held st' = true t : list Client_index Hq : queue (sigma Server) = c :: t Hcorr : forall n : Client_index,         held (sigma (Client n)) = true ->         exists t : list Client_index, queue (sigma Server) = n :: t n : Client_index Hheld : held           (if Name_eq_dec (Client n) (Client c)            then st'            else sigma (Client n)) = true The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
nwnw_locked_lock,systems/LiveLockServ.v,True,,
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,add_err,Syntax Error: Lexer: Undefined token
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,The reference IHrtc was not found in the current environment.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat i : Msg sigma : Name -> Data u : Label st' : Data out : list Output ms : list (Name * Msg) c : Client_index Hcase : i = Lock /\         out = [] /\ st' = sigma (Client c) /\ ms = [(Server, Lock)] \/         i = Unlock /\         out = [] /\         held st' = false /\         (held (sigma (Client c)) = true /\ ms = [(Server, Unlock)] \/          st' = sigma (Client c) /\ ms = []) Hlc : locks_correct sigma ci : Client_index Hheld : held (update name_eq_dec sigma (Client c) st' (Client ci)) = true The term ""Client c"" has type ""Name"" while it is expected to have type ""name""."
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map net : network failed' : list name p : packet xs, ys : list packet d : data l : list (name * msg) out : list output H4 : nwPackets net = xs ++ p :: ys H5 : ~ In (pDst p) failed' H7 : net_handlers (pDst p) (pSrc p) (pBody p) (nwState net (pDst p)) =      (out, d, l) m : msg Hmsg : pt_map_msg (pBody p) = Some m Unable to unify  ""step_failure (?M1938, ?M1936) (?M1938, ?M1937) [(pDst ?M1939, inr ?M1942)]"" with  ""step_failure (map tot_map_name failed', pt_map_net net)     (map tot_map_name failed',     pt_map_net       {|       nwPackets := map                      (fun m : name * msg =>                       {| pSrc := pDst p; pDst := fst m; pBody := snd m |}) l ++                    xs ++ ys;       nwState := update name_eq_dec (nwState net) (pDst p) d |})     [(tot_map_name (pDst p), inr (filterMap pt_map_output out))]""."
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No primitive equality found.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,No such hypothesis: Hnd
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params packets : list packet st : name -> data Unable to unify ""map ?M1627 ?M1630 = map ?M1628 ?M1630"" with  ""map     (fun x : packet =>      {|      pSrc := pSrc                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pDst := pDst                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pBody := snd                 (pBody                    {|                    pSrc := pSrc x;                    pDst := pDst x;                    pBody := (ghost_msg_default, pBody x) |}) |}) packets =   packets""."
